明天	mínɡtiān	завтра 
晚上	wǎnshɑnɡ	вечер
事	shì	дело, занятие
吃饭	chīfàn	есть
能	nénɡ	мочь
带	dài	брать с собой
太	tài	очень; слишком
非常	fēichánɡ	чрезвычайный
有名	yǒumínɡ	известный
川菜馆儿	chuāncài guǎnr	ресторан сычуаньской кухни 
川菜	chuāncài	сычуаньская кухня
行	xínɡ	ладно; пойдет
听说	tīnɡshuō	говорят, что…
听	tīnɡ	слушать
说	shuō	говорить
辣	là	острый (о еде)
不过	búɡuò	однако
尝	chánɡ	пробовать (на вкус)
服务员	fúwùyuán	официант
服务	fúwù	служить, обслуживать
（一）点儿	(yì)diǎnr	чуть-чуть, немного
菜单	càidān	меню
来	lái	подавать, заказывать (блюда)
盘	pán	тарелка
麻婆豆腐	mápódòufu	острый доуфу с кусочками мяса 
鱼香肉丝	yúxiāngròusī	мясо с запахом рыбы
点	diǎn	заказывать
别的	biéde	другой, другие
碗	wǎn	чашка, пиала
西红柿鸡蛋汤	xīhóngshì jīdàn tānɡ	суп с помидором и яйцом
西红柿	xīhóngshì	помидор
鸡蛋	jīdàn	куриное яйцо
鸡	jī	курица 
汤	tānɡ	суп 
酒水	jiǔshuǐ	напитки
瓶	pínɡ	бутылка
主食	zhǔshí	основная еда 
饺子	jiǎozi	пельмени
面条	miàntiáo	лапша
买单	mǎidān	расплачиваться по счету
一共	yíɡònɡ	всего, итого
给	gěi	давать
找	zhǎo	давать сдачу
