ཀ་བ་	столб	kaba
ཁ་ 	рот	kha
ཁ་བ་	снег	khaba
ཁ་ལོ་བ་	водитель	khaloba
ཁ་ས་	вчера	khasa
ང་	я	nga
ཆུ་	вода	chu
ཇ་	чай	ja
ཉ་	рыба	nya
ཉི་མ་	солнце, день	nyima
པུ་གུ་	ребенок, дети	pugu
ཕ་མ་	родители	phama
བུ་	ребенок, мальчик, сын	bu
བུ་མོ་	дочь, девочка	bumo
མི་	человек	mi
མོ་ཏ་	машина	mota
མོ་སི་ཁོ་	Москва	mosikho
ཙི་ཙི་	мышь	tsitsi
ཚ་པོ་	горячий	tsha po
ཞི་མི་	кошка	zhi mi
རི་	гора	ri
རི་མོ་	картина, рисунок	rimo
རི་མོ་བ་	художник	rimoba
ལོ་	год	lo
ཤ་	мясо, плоть	sha
ཨ་ཁུ་ 	дядя по отцу	akhu
ཨ་ཕ་ 	папа	apha
ཨ་མ་ 	мама	ama
ཨུ་རུ་སུ་ 	Россия	urusu
ཨུ་རུ་སུ་མི་	русский	urusumi
ཁ་པར་ 	телефон	kha par
ཁ་ལག་ 	еда	khalag
ཁང་པ་	дом, здание	khang pa
ཁོང་ 	он/она	khong
ག་རེ་ 	что?	ga re
ག་པར་ / ག་བར་	где?	ga bar
ཅོ་ཅོག་ 	старший брат	cocog
ཇ་ཁང་ 	чайная	ja khang
དེབ་ 	книга	deb
ནང་ 	дом/внутри/home	nang
ནང་པ་ 	буддист	nang pa
མེ་ 	огонь	me
མེ་ཏོག་ 	цветок	me tog
ཚེམ་བུ་བ་ 	портной	tshem bu ba
ཚོང་པ་ 	торговец, бизнесмен	tshong pa
ཚོང་ཁང་ 	магазин	tshong khang
ཟ་ཁང་ 	столовая	za khang
འོག་མ་ 	младшая сестра или брат	og ma
ལག་པ་ 	рука	lag pa
ལགས་ 	частица почтительности	lags
ལས་ཀ་ 	работа	las ka
ལས་ཁུངས་ 	офис, фирма	las khungs
པར་ཆས་ 	фотокамера	par chas
བག་ལེབ་ 	хлеб	bag leb
བོད་ 	Тибет	bod
བོད་པ་ 	тибетец	bod pa
མར་ 	масло	mar
ཤིང་ཏོག་ 	фрукт	shing tog
སུ་ 	кто?	su
ཨ་ཞང་ 	дядя по матери	a zhang
ཨ་ནེ་ 	тетя по отцу	a ne
ཨ་ཅག་ 	старшая сестра	a tsag
དཀར་པོ་ 	белый	dkar po
ཁང་མིག་ 	комната	khang mig
གངས་རི་ 	снежная гора	gangs ri
དགོན་པ་ 	монастырь	dgon pa
མང་པོ་ 	многочисленный	mang po
མིང་ 	имя, название	ming
དམར་པོ་ 	красный	dmar po
གཙུག་ལག་ཁང་ 	крупный храм	gtsug lag khang
ཆུང་ཆུང་ 	маленький по размеру	chung chung
ཆེན་པོ་ 	большой по размеру	chen po
ཉུང་ཉུང་ 	малочисленный	nyung nyung
མཐོ་པོ་ 	высокий	mtho po
དེ་ 	то (дальний дейксис, невидимое)	de
འདི་ 	это (ближний дейксис)	’di
ནག་པོ་ 	черный	nag po
དཔེ་ཆ་ 	тибетская книга	dpe cha
དཔེ་མཛོད་ཁང་	библиотека	dpe mdzod khang
ཕ་གི་ 	то (видимое, средний дейксис)	pha gi
མ་གི་ 	то (внизу, средний дейксис)	ma gi
ཚིག་	слово	tshig
ཚིག་མཛོད་ 	словарь	tshig mdzod
མཚན་ 	имя, знак, признак	mtshan
ཞལ་ལག་ 	еда	zhal lag
ཞིམ་པོ་ 	вкусный	zhim po
ཞེ་ས་ 	почтительная форма (грам. термин)	zhe sa
ཡ་གི་ 	то (вверху, средний дейксис)	ya gi
ཡག་པོ་ 	хороший	yag po
གཡག་	як (самец)	g.yag
སེར་པོ་ 	желтый	ser po
གསར་པ་ 	новый	gsar pa
ཁ་ཤས་	некоторые, несколько	kha shas
ཁོ་/ཁོ་རང་	он	kho/kho rang
ཅ་ལག་	вещь, предмет	ca lag
ཅིག་/ཞིག་/ཤིག་	один, некий	cig/zhig/shig
ཅོག་ཙེ་	стол	cog tse
བདག་པོ་	хозяин	bdag po
ནུབ་ཕྱོགས་པ་	европеец, западный человек	nub phyogs pa
མོ་རང་/མོ	она	mo/mo rang
ཚང་མ་	все	tshang ma
བཞི་	четыре	bzhi
བཟོ་པ་	мастеровой, ремесленник	bzo pa
བཟང་པོ་	добрый, благой, хороший	bzag po
འོ་མ་	молоко	'o ma
